,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
929,928,FIFA 15,Microsoft Xbox One,EA Sports,EA Canada,7.9,5.4,2.19,2014
930,929,Star Wars: Knights of the Old Republic,Microsoft Xbox,LucasArts,BioWare Corp.,9.4,10.0,2.19,2003
944,943,PlayerUnknown's Battlegrounds,Microsoft Xbox One,Microsoft,PUBG Corporation,8.5,5.0,2.17,2017
968,967,Mortal Kombat (2011),Microsoft Xbox 360,Warner Bros,NetherRealm Studios,8.6,,2.12,2011
969,968,Project Gotham Racing,Microsoft Xbox,Microsoft,Bizarre Creations,8.4,,2.12,2001
971,970,NBA 2K11,Microsoft Xbox 360,2K Sports,Visual Concepts,8.8,,2.11,2010
975,974,Project Gotham Racing (JP weekly sales),Microsoft Xbox,Microsoft,Bizarre Creations,,,2.1,2002
980,979,Battlefield 4,Microsoft Xbox One,Electronic Arts,EA DICE,8.5,,2.09,2013
985,984,Madden NFL 15,Microsoft Xbox 360,EA Sports,EA Tiburon,,,2.09,2014
991,990,Portal 2,Microsoft Xbox 360,Valve,Valve Software,9.6,,2.08,2011
999,998,UFC 2009 Undisputed,Microsoft Xbox 360,THQ,Yuke's Osaka,8.4,,2.07,2009
1004,1003,Call of Duty 2,Microsoft Xbox 360,Activision,Infinity Ward,8.8,9.1,2.06,2005
1008,1007,Tom Clancy's Splinter Cell: Conviction,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.6,,2.06,2010
1010,1009,Need for Speed: ProStreet,Microsoft Xbox 360,Electronic Arts,EA Black Box,7.1,,2.05,2007
1022,1021,Dead or Alive 3,Microsoft Xbox,Tecmo,Team Ninja,8.3,,2.04,2001
1023,1022,PGR4 - Project Gotham Racing 4,Microsoft Xbox 360,Microsoft,Bizarre Creations,8.6,,2.04,2007
1024,1023,Dance Central 2,Microsoft Xbox 360,Microsoft,Harmonix Music Systems,8.6,,2.04,2011
1026,1025,NBA 2K17,Microsoft Xbox One,2K Sports,Visual Concepts,8.8,6.0,2.04,2016
1035,1034,Just Dance 3,Microsoft Xbox 360,Ubisoft,Ubisoft Paris,5.5,,2.02,2011
1037,1036,NBA 2K18,Microsoft Xbox One,2K Sports,Visual Concepts,7.7,1.5,2.02,2017
1038,1037,Call of Duty: Black Ops 3,Microsoft Xbox 360,Activision,Treyarch,,,2.01,2015
1057,1056,Saints Row,Microsoft Xbox 360,THQ,Volition Inc.,8.0,,2.0,2006
1064,1063,Your Shape: Fitness Evolved,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,7.0,,2.0,2010
1066,1065,Mortal Kombat vs DC Universe,Microsoft Xbox 360,Midway Games,Midway Amusement Games,7.6,,1.99,2008
1075,1074,BioShock Infinite,Microsoft Xbox 360,2K Games,Irrational Games,9.4,,1.97,2013
1077,1076,Resident Evil 6,Microsoft Xbox 360,Capcom,Capcom,,,1.97,2012
1087,1086,Tom Clancy's Rainbow Six: Vegas,Microsoft Xbox 360,Ubisoft,Ubisoft Montreal,8.8,,1.95,2006
1089,1088,Grand Theft Auto: San Andreas,Microsoft Xbox,Rockstar Games,Rockstar North,9.2,,1.95,2005
1095,1094,Forza Horizon,Microsoft Xbox 360,Microsoft,Playground Games,9.0,,1.94,2012
1096,1095,Destiny,Microsoft Xbox 360,Activision,Unknown,,,1.94,2014
1101,1100,FIFA Soccer 09,Microsoft Xbox 360,Electronic Arts,EA Canada,8.7,,1.94,2008
1114,1113,Star Wars Battlefront II (2017),Microsoft Xbox One,Electronic Arts,EA DICE,,,1.92,2017
1115,1114,Need for Speed: Shift,Microsoft Xbox 360,Electronic Arts,Slightly Mad Studios,8.2,,1.91,2009
1120,1119,Madden NFL 18,Microsoft Xbox One,EA Sports,EA Tiburon,8.8,4.5,1.91,2017
1122,1121,Tomb Raider (2013),Microsoft Xbox 360,Square Enix,Crystal Dynamics,8.5,,1.9,2013
1127,1126,Batman: Arkham Origins,Microsoft Xbox 360,Warner Bros,Warner Bros,7.8,,1.9,2013
1148,1147,Madden NFL 06,Microsoft Xbox,EA Sports,EA Tiburon,8.8,,1.86,2005
1163,1162,Forza Horizon 4,Microsoft Xbox One,Microsoft,Playground Games,9.2,7.9,1.84,2018
1171,1170,The Elder Scrolls V: Skyrim Special Edition,Microsoft Xbox One,Bethesda Softworks,Bethesda Softworks,8.1,7.4,1.83,2016
1181,1180,The Orange Box,Microsoft Xbox 360,Electronic Arts,Valve Software,9.7,,1.82,2007
1189,1188,Madden NFL 07,Microsoft Xbox 360,EA Sports,EA Tiburon,8.2,,1.8,2006
1191,1190,Dead Rising,Microsoft Xbox 360,Capcom,Capcom Production Studio 1,8.4,,1.8,2006
1209,1208,Far Cry 5,Microsoft Xbox One,Ubisoft,Ubisoft Montreal,7.2,6.7,1.78,2018
1224,1223,Tom Clancy's Ghost Recon,Microsoft Xbox,Ubisoft,Red Storm Entertainment,8.8,,1.76,2002
1227,1226,Kinect Star Wars,Microsoft Xbox 360,Microsoft,Terminal Reality,,,1.76,2012
1232,1231,Star Wars Battlefront,Microsoft Xbox,LucasArts,Pandemic Studios,,,1.75,2004
1240,1239,Crackdown,Microsoft Xbox 360,Microsoft,Realtime Worlds,8.4,7.0,1.75,2007
1243,1242,Mortal Kombat X,Microsoft Xbox One,Warner Bros,NetherRealm Studios,8.6,7.5,1.74,2015
1246,1245,NBA 2K15,Microsoft Xbox One,2K Sports,Visual Concepts,8.2,6.2,1.74,2014
1247,1246,NBA 2K19,Microsoft Xbox One,2K Sports,Visual Concepts,8.3,2.8,1.74,2018
1258,1257,Dishonored,Microsoft Xbox 360,Bethesda Softworks,Arkane Studios,9.2,,1.72,2013
1265,1264,Madden NFL 2005,Microsoft Xbox,EA Sports,EA Tiburon,9.5,,1.72,2004
1272,1271,Need for Speed Underground,Microsoft Xbox,Electronic Arts,EA Black Box,8.8,,1.71,2003
1279,1278,Hitman: Absolution,Microsoft Xbox 360,Square Enix,IO Interactive,9.0,,1.7,2012
1291,1290,Tekken 6,Microsoft Xbox 360,Namco Bandai,Namco Bandai Games,7.8,,1.7,2009
1298,1297,Saints Row IV,Microsoft Xbox 360,Deep Silver,Volition Inc.,7.3,,1.69,2013
1302,1301,Need for Speed: Undercover,Microsoft Xbox 360,Electronic Arts,EA Vancouver,6.3,,1.69,2008
1309,1308,LEGO Batman 2: DC Super Heroes,Microsoft Xbox 360,Warner Bros,Traveller's Tales,,,1.69,2012
1310,1309,Far Cry 4,Microsoft Xbox One,Ubisoft,Ubisoft Montreal,8.5,7.6,1.68,2014
