,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
431,430,The Legend of Zelda: Skyward Sword,Nintendo Wii,Nintendo,Nintendo EAD,9.4,,3.67,2011
434,433,MySims,Nintendo DS,Electronic Arts,EA Redwood Shores,6.7,,3.66,2007
435,434,Banjo-Kazooie,Nintendo 64,Nintendo,Rare Ltd.,9.3,9.4,3.65,1998
439,438,Pokemon Snap,Nintendo 64,Nintendo,HAL Laboratory,7.9,,3.63,1999
442,441,Guitar Hero: World Tour,Nintendo Wii,Activision,Vicarious Visions,8.4,,3.62,2008
451,450,Cooking Mama 2: Dinner With Friends,Nintendo DS,Majesco,Office Create,6.9,,3.58,2007
469,468,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Super Nintendo Entertainment System,Nintendo,Rare Ltd.,8.8,,3.51,1996
472,471,Kung Fu,Nintendo Entertainment System,Nintendo,Irem Software Engineering,,,3.5,1985
476,475,Pokemon Mystery Dungeon: Blue Rescue Team,Nintendo DS,Nintendo,ChunSoft,6.3,,3.49,2006
480,479,Mario & Sonic at the Olympic Winter Games,Nintendo DS,Sega,Sega,7.6,,3.47,2009
482,481,Guitar Hero: On Tour,Nintendo DS,Activision,Vicarious Visions,7.1,8.1,3.46,2008
488,487,Animal Crossing: Happy Home Designer,Nintendo 3DS,Nintendo,Nintendo EAD,6.6,6.9,3.43,2015
493,492,F-1 Race,Game Boy,Nintendo,Nintendo,7.0,,3.41,1991
494,493,Super Mario Maker,Nintendo 3DS,Nintendo,Nintendo,7.3,,3.4,2016
502,501,The Legend of Zelda: Majora's Mask,Nintendo 64,Nintendo,Nintendo EAD,9.3,,3.36,2000
504,503,Yoshi's Island DS,Nintendo DS,Nintendo,Artoon,8.2,,3.36,2006
507,506,Big Brain Academy: Wii Degree,Nintendo Wii,Nintendo,Nintendo EAD,7.1,,3.34,2007
509,508,Luigi's Mansion,Nintendo GameCube,Nintendo,Nintendo EAD,7.9,,3.33,2001
528,527,Flash Focus: Vision Training in Minutes a Day,Nintendo DS,Nintendo,Bandai Namco Games,6.1,,3.23,2007
531,530,Baseball,Nintendo Entertainment System,Nintendo,Nintendo,5.5,,3.2,1985
533,532,Dragon Quest IV,Nintendo Entertainment System,Enix,ChunSoft,,,3.2,1992
534,533,Dragon Quest VI: Maboroshi no Daichi,Super Nintendo Entertainment System,Enix,Heart Beat,,,3.2,1995
535,534,Killer Instinct,Super Nintendo Entertainment System,Nintendo,Rare Ltd.,,,3.2,1995
