,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
983,982,Just Dance 2015,Nintendo Wii,Ubisoft,Ubisoft Paris,,,2.09,2014
990,989,Rock Band,Nintendo Wii,MTV Games,Harmonix Music Systems,8.2,,2.08,2008
992,991,Mario Party 7,Nintendo GameCube,Nintendo,Hudson Soft,6.0,,2.08,2005
993,992,Wipeout: The Game,Nintendo Wii,Activision,Endemol,,,2.08,2010
996,995,Dance Dance Revolution: Hottest Party,Nintendo Wii,Konami,Bemani,7.0,,2.07,2007
1014,1013,Famista '89 - Kaimaku Han!!,NES,Namco,Namco,,,2.05,1989
1028,1027,1080?�: TenEighty Snowboarding,Nintendo 64,Nintendo,Nintendo EAD,9.1,,2.03,1998
1031,1030,Rayman Raving Rabbids: TV Party,Nintendo Wii,Ubisoft,Ubisoft Paris,7.1,,2.03,2008
1040,1039,Donkey Kong Country: Tropical Freeze,Nintendo Wii U,Nintendo,Retro Studios,8.8,9.1,2.01,2014
1047,1046,Deca Sports,Nintendo Wii,Hudson Soft,CAProduction,5.3,,2.0,2008
1051,1050,Dragon Warrior,NES,Nintendo,ChunSoft,,,2.0,1989
1056,1055,Resident Evil 4,Nintendo Wii,Capcom,Capcom Production Studio 4,9.2,9.7,2.0,2007
1060,1059,Super Street Fighter II,SNES,Capcom,Capcom,,,2.0,1994
1073,1072,Mario Sports Mix,Nintendo Wii,Nintendo,Square Enix,6.0,,1.98,2011
1074,1073,SimCity,SNES,Nintendo,Intelligent Systems,,,1.98,1991
1084,1083,Rad Racer,NES,Nintendo,SquareSoft,,,1.96,1987
1085,1084,Soccer,NES,Nintendo,"Iwasaki Electronics Co., Ltd.",,,1.96,1987
1090,1089,Pokemon Battle Revolution,Nintendo Wii,Nintendo,Genius Sonority Inc.,5.2,,1.95,2007
1102,1101,Call of Duty: World at War,Nintendo Wii,Activision,EXAKT Entertainment,8.1,8.9,1.94,2008
1106,1105,Mortal Kombat II,SNES,Acclaim Entertainment,Sculptured Software,,,1.93,1994
1118,1117,Mario Party 3,Nintendo 64,Nintendo,Hudson Soft,7.0,,1.91,2001
1119,1118,Paper Mario: The Thousand-Year Door,Nintendo GameCube,Nintendo,Intelligent Systems,9.0,,1.91,2004
