,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
115,116,Uncharted 3: Drake's Deception,Sony PlayStation 3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,9.3,2011
116,117,FIFA 19,Sony Playstation 4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018
123,124,Final Fantasy VIII,Sony PlayStation,Square EA,SquareSoft,9.4,,8.6,1999
124,125,Final Fantasy X,Sony PlayStation 2,Square,SquareSoft,9.0,10.0,8.6,2001
126,127,Call of Duty: Infinite Warfare,Sony Playstation 4,Activision,Infinity Ward,7.7,3.8,8.48,2016
127,128,Fallout 4,Sony Playstation 4,Bethesda Softworks,Bethesda Game Studios,8.6,6.6,8.48,2015
129,130,Tekken 3,Sony PlayStation,Namco,Namco,9.6,,8.3,1998
130,131,FIFA 16,Sony Playstation 4,EA Sports,EA Canada,8.5,4.4,8.22,2015
131,132,The Last of Us,Sony PlayStation 3,Sony Computer Entertainment America,Naughty Dog,9.5,,8.15,2013
133,134,Star Wars Battlefront (2015),Sony Playstation 4,Electronic Arts,EA DICE,7.1,,8.03,2015
134,135,FIFA 13,Sony PlayStation 3,EA Sports,EA Canada,,,8.01,2012
135,136,NBA 2K20,Sony Playstation 4,2K Sports,Visual Concepts,7.8,1.2,8.0,2019
140,141,God of War III,Sony PlayStation 3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,7.6,2010
143,144,Crash Bandicoot 2: Cortex Strikes Back,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,1997
144,145,Call of Duty: Advanced Warfare,Sony Playstation 4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014
153,154,Battlefield 1,Sony Playstation 4,Electronic Arts,EA DICE,9.1,7.9,7.26,2016
154,155,Battlefield 3,Sony PlayStation 3,Electronic Arts,Dice,8.5,,7.21,2011
155,156,Need for Speed Underground,Sony PlayStation 2,Electronic Arts,EA Black Box,8.6,,7.2,2003
157,158,FIFA 20,Sony Playstation 4,Electronic Arts,EA Sports,7.9,1.1,7.15,2019
158,159,Crash Bandicoot 3: Warped,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,1998
161,162,Need for Speed Underground 2,Sony PlayStation 2,Electronic Arts,EA Black Box,8.3,,6.9,2004
164,165,Medal of Honor: Frontline,Sony PlayStation 2,Electronic Arts,EA Los Angeles,9.0,,6.83,2002
165,166,Crash Bandicoot,Sony PlayStation,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,1996
166,167,Uncharted 2: Among Thieves,Sony PlayStation 3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,2009
167,168,Call of Duty 4: Modern Warfare,Sony PlayStation 3,Activision,Infinity Ward,9.5,9.6,6.72,2007
168,169,FIFA Soccer 12,Sony PlayStation 3,EA Sports,EA Canada,9.2,,6.65,2011
169,170,FIFA 14,Sony PlayStation 3,EA Sports,EA Canada,9.0,,6.61,2013
