,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
13012,13011,Forbidden Siren 2,Sony PlayStation 2,Sony Computer Entertainment,SCE Japan Studio,,,0.08,2006
13103,13102,SingStar Apres-Ski Party 2,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.08,2010
13104,13103,EyeCreate,Sony PlayStation 3,Sony Computer Entertainment,London Studios,,,0.08,2007
13191,13190,Bleach: Erabareshi Tamashii,Sony PlayStation 2,Sony Computer Entertainment,SCEI,,,0.08,2005
13256,13255,Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen�??,Sony PlayStation 3,Sony Computer Entertainment,Millennium Kitchen,,,0.08,2007
13357,13356,Krazy Ivan,Sony PlayStation,Sony Computer Entertainment,Psygnosis,6.0,,0.08,1996
13693,13692,GunParade Orchestra: Shiro no Shou,Sony PlayStation 2,Sony Computer Entertainment,Alfa System,,,0.07,2006
13800,13799,Motor Toon Grand Prix (Japan),Sony PlayStation,Sony Computer Entertainment,Sony Computer Entertainment Japan,,,0.07,1994
13860,13859,WipEout HD Fury,Sony PlayStation 3,Sony Computer Entertainment,Studio Liverpool,9.1,,0.07,2009
13938,13937,Bleach: Hanatareshi Yabou,Sony PlayStation 2,Sony Computer Entertainment,SCEI,,,0.07,2006
14271,14270,ICO,Sony PlayStation 3,Sony Computer Entertainment,Bluepoint Games,,,0.06,2011
14393,14392,G-Police: Weapons of Justice,Sony PlayStation,Sony Computer Entertainment,Psygnosis,8.5,,0.06,1999
14407,14406,Syphon Filter: Logan's Shadow,Sony PlayStation 2,Sony Computer Entertainment,SCEA Bend Studio,,,0.06,2010
14486,14485,Bleach: Blade Battlers 2nd,Sony PlayStation 2,Sony Computer Entertainment,Racjin,,,0.06,2007
14677,14676,Bleach: Blade Battlers,Sony PlayStation 2,Sony Computer Entertainment,Racjin,,,0.05,2006
14760,14759,SingStar Mallorca Party,Sony PlayStation 3,Sony Computer Entertainment,SCEE London Studio,,,0.05,2009
14766,14765,Starblood Arena,Sony Playstation 4,Sony Interactive Entertainment,WhiteMoon Dreams,6.8,7.3,0.05,2017
14785,14784,Gran Turismo / Motor Toon Grand Prix 2,Sony PlayStation,Sony Computer Entertainment,Various,,,0.05,2003
14880,14879,rain,Sony PlayStation 3,Sony Computer Entertainment,PlayStation C.A.M.P.!,,,0.05,2013
