,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
2474,2473,Viva Pinata,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,8.4,,1.0,2006
2489,2488,NFL Fever 2002,Microsoft Xbox,Microsoft,Microsoft,7.9,,0.99,2001
2556,2555,Sea of Thieves,Microsoft Xbox One,Microsoft Studios,Rare Ltd.,6.9,7.0,0.96,2018
2681,2680,Blue Dragon,Microsoft Xbox 360,Microsoft Game Studios,Mistwalker Corporation / Artoon,7.7,,0.92,2007
2708,2707,Lost Odyssey,Microsoft Xbox 360,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,9.3,0.9,2008
2725,2724,RalliSport Challenge,Microsoft Xbox,Microsoft,Digital Illusions,9.2,,0.9,2002
2792,2791,Crimson Skies: High Road to Revenge,Microsoft Xbox,Microsoft Game Studios,FASA Studio,9.1,,0.87,2003
2832,2831,Dead Rising 4,Microsoft Xbox One,Microsoft Studios,Capcom,7.2,4.7,0.87,2016
2908,2907,Forza Horizon 2,Microsoft Xbox 360,Microsoft Studios,Sumo Digital,,,0.83,2014
2925,2924,Brute Force,Microsoft Xbox,Microsoft Game Studios,Digital Anvil,8.1,,0.83,2003
2931,2930,Dance Central 3,Microsoft Xbox 360,Microsoft,Harmonix Music Systems,8.0,,0.83,2012
2955,2954,Amped: Freestyle Snowboarding,Microsoft Xbox,Microsoft,Indie Built,8.5,,0.82,2001
3071,3070,Too Human,Microsoft Xbox 360,Microsoft Game Studios,Silicon Knights,6.5,,0.78,2008
3094,3093,Rare Replay,Microsoft Xbox One,Microsoft Studios,Rare Ltd.,8.4,8.0,0.78,2015
3110,3109,Lips,Microsoft Xbox 360,Microsoft Game Studios,iNiS,7.1,,0.77,2008
3115,3114,Perfect Dark Zero,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,8.1,8.9,0.77,2005
3153,3152,Banjo-Kazooie: Nuts & Bolts,Microsoft Xbox 360,Microsoft Game Studios,Rare Ltd.,8.0,,0.76,2008
3183,3182,Quantum Break,Microsoft Xbox One,Microsoft Studios,Remedy Entertainment,7.7,7.1,0.76,2016
3279,3278,Oddworld: Munch's Oddysee,Microsoft Xbox,Microsoft,Oddworld Inhabitants,7.4,,0.73,2001
